"","publication","publisher","date"
"932","Isle of Thanet Gazette","Reach PLC",2022-11-07
"933","Isle of Wight County Press","Newsquest Media Group",2022-11-07
"934","Isle of Wight Living","Newsquest Media Group",2022-11-07
"935","Islington Gazette","Newsquest Media Group",2022-11-07
"936","islingtoncitizen.co.uk","Citizen News & Media Limited",2022-11-07
"937","islingtongazette.co.uk","Newsquest Media Group",2022-11-07
"938","itproportal.com","Future PLC",2022-11-07
"939","Ivybridge & South Brent Gazette","Tindle Newspapers Limited",2022-11-07
"940","ivybridge-today.co.uk","Tindle Newspapers Limited",2022-11-07
"941","IWG","Cedar Communications Ltd",2022-11-07
"942","Jersey Evening Post","Guiton Publishing",2022-11-07
"943","jerseyeveningpost.com","Guiton Publishing",2022-11-07
"944","John O'Groat Journal","Highland News & Media Limited",2022-11-07
"945","johnogroat-journal.co.uk","Highland News & Media Limited",2022-11-07
"946","Journal","Reach PLC",2022-11-07
"947","Journal","Reach PLC",2022-11-07
"948","juniormagazine.co.uk","Immediate Media Company Limited",2022-11-07
"949","jw-mag.com","DC Thomson Group",2022-11-07
"950","Keighley News","Newsquest Media Group",2022-11-07
"951","keighleynews.co.uk","Newsquest Media Group",2022-11-07
"952","Kenilworth Weekly News","National World Publishing Ltd",2022-11-07
"953","kenilworth.nub.news","Nub News Ltd",2022-11-07
"954","kenilworthweeklynews.co.uk","National World Publishing Ltd",2022-11-07
"955","Kent & Sussex Courier","Reach PLC",2022-11-07
"956","Kent Life","Newsquest Media Group",2022-11-07
"957","Kent Messenger","Iliffe Media Group Ltd",2022-11-07
"958","kentbusiness.co.uk","Iliffe Media Group Ltd",2022-11-07
"959","Kentish Express","Iliffe Media Group Ltd",2022-11-07
"960","Kentish Gazette","Iliffe Media Group Ltd",2022-11-07
"961","kentlive.news","Reach PLC",2022-11-07
"962","kentonline.co.uk","Iliffe Media Group Ltd",2022-11-07
"963","Keswick Reminder","Barrnon Media Limited",2022-11-07
"964","kidderminstershuttle.co.uk","Newsquest Media Group",2022-11-07
"965","kilburntimes.co.uk","Newsquest Media Group",2022-11-07
"966","Kilmarnock Standard","Reach PLC",2022-11-07
"967","Kilsyth Chronicle","National World Publishing Ltd",2022-11-07
"968","kilsythchronicle.co.uk","National World Publishing Ltd",2022-11-07
"969","Kincardineshire Observer","National World Publishing Ltd",2022-11-07
"970","kincardineshireobserver.co.uk","National World Publishing Ltd",2022-11-07
"971","Kingsbridge & Salcombe Gazette","Tindle Newspapers Limited",2022-11-07
"972","kingsbridge-today.co.uk","Tindle Newspapers Limited",2022-11-07
"973","kingston.nub.news","Nub News Ltd",2022-11-07
"974","Kirkintilloch Herald","National World Publishing Ltd",2022-11-07
"975","kirkintilloch-herald.co.uk","National World Publishing Ltd",2022-11-07
"976","Kirriemuir Herald","National World Publishing Ltd",2022-11-07
"977","kirriemuirherald.co.uk","National World Publishing Ltd",2022-11-07
"978","Knaresborough Post","National World Publishing Ltd ",2022-11-07
"979","Knitting Crochet","DC Thomson Group",2022-11-07
"980","Knutsford Guardian","Newsquest Media Group",2022-11-07
"981","knutsfordguardian.co.uk","Newsquest Media Group",2022-11-07
"982","kotaku.co.uk","Future PLC",2022-11-07
"983","Kyle Chronicle","Carn Bren Publishing Ltd",2022-11-07
"984","lady.co.uk","The Lady Limited",2022-11-07
"985","Lakes and Cumbria Wedding Magazine","Newsquest Media Group",2022-11-07
"986","Lakes, Lune and The Dales Living","Newsquest Media Group",2022-11-07
"987","Lanark Gazette","National World Publishing Ltd",2022-11-07
"988","lanarkgazette.co.uk","National World Publishing Ltd",2022-11-07
"989","Lancashire Life","Newsquest Media Group",2022-11-07
"990","Lancashire Post","National World Publishing Ltd",2022-11-07
"991","Lancashire Telegraph","Newsquest Media Group",2022-11-07
"992","lancashiretelegraph.co.uk","Newsquest Media Group",2022-11-07
"993","Lancaster & Morecambe Living","Newsquest Media Group",2022-11-07
"994","Lancaster Guardian","National World Publishing Ltd",2022-11-07
"995","lancasterguardian.co.uk"," National World Publishing Ltd",2022-11-07
"996","lancs.live","Reach PLC",2022-11-07
"997","Land Rover Owner International","H. Bauer Publishing",2022-11-07
"998","Landscape","H. Bauer Publishing",2022-11-07
"999","landscapemagazine.co.uk","H. Bauer Publishing",2022-11-07
"1000","Largs & Millport Weekly News","Newsquest Media Group",2022-11-07
"1001","largsandmillportnews.com","Newsquest Media Group",2022-11-07
"1002","Larne Times","National World Publishing Ltd",2022-11-07
"1003","larnetimes.co.uk","National World Publishing Ltd",2022-11-07
"1004","leaderlive.co.uk","Newsquest Media Group",2022-11-07
"1005","Leamington Spa Courier","National World Publishing Ltd",2022-11-07
"1006","leamingtoncourier.co.uk","National World Publishing Ltd",2022-11-07
"1007","Leatherhead Advertiser","Reach PLC",2022-11-07
"1008","Ledbury Reporter","Newsquest Media Group",2022-11-07
"1009","ledburyreporter.co.uk","Newsquest Media Group",2022-11-07
"1010","leeds-live.co.uk","Reach PLC",2022-11-07
"1011","Leek Post & Times","Reach PLC",2022-11-07
"1012","leek.nub.news","Nub News Ltd",2022-11-07
"1013","Lego City","Immediate Media Company Limited",2022-11-07
"1014","Lego Friends","Immediate Media Company Ltd",2022-11-07
"1015","Lego Ninjago","Immediate Media Company Limited",2022-11-07
"1016","Lego Specials","Immediate Media Company Limited",2022-11-07
"1017","Lego Star Wars","Immediate Media Company Limited",2022-11-07
"1018","Leicester Mercury","Reach PLC",2022-11-07
"1019","leicestermercury.co.uk","Reach PLC",2022-11-07
"1020","Leigh and Westcliff Times","Tindle Newspapers Limited",2022-11-07
"1021","Leigh Journal","Newsquest Media Group",2022-11-07
"1022","leighjournal.co.uk","Newsquest Media Group",2022-11-07
"1023","leightimes.co.uk","Tindle Newspapers Limited",2022-11-07
"1024","Leighton Buzzard Observer","National World Publishing Ltd",2022-11-07
"1025","leightonbuzzardonline.co.uk","National World Publishing Ltd",2022-11-07
"1026","Lennox Herald","Reach PLC",2022-11-07
"1027","lep.co.uk","National World Publishing Ltd",2022-11-07
"1028","letchworth.nub.news","Nub News Ltd",2022-11-07
"1029","Let's Get Crafting","DC Thomson Group",2022-11-07
"1030","Let's Knit","DC Thomson Group",2022-11-07
"1031","Let's Talk","Newsquest Media Group",2022-11-07
"1032","letstalkmagazine.co.uk","Newsquest Media Group",2022-11-07
"1033","Leyland Guardian","National World Publishing Ltd",2022-11-07
"1034","leyland-guardian.co.uk","National World Publishing Ltd ",2022-11-07
"1035","Lichfield Mercury","Reach PLC",2022-11-07
"1036","Life & Style","Regional Media Ltd",2022-11-07
"1037","Life and Work","Church of Scotland",2022-11-07
"1038","Life and Work E-newsletter","Church of Scotland",2022-11-07
"1039","Life and Work Gaelic Supplement","Church of Scotland",2022-11-07
"1040","Lincolnshire Echo","Reach PLC",2022-11-07
"1041","lincolnshirelive.co.uk","Reach PLC",2022-11-07
"1042","lincolnshireworld.com","National World Publishing Ltd",2022-11-07
"1043","Lincs Free Press","Iliffe Media Group Ltd",2022-11-07
"1044","Linlithgow Journal and Gazette","National World Publishing Ltd",2022-11-07
"1045","linlithgowgazette.co.uk","National World Publishing Ltd ",2022-11-07
"1046","Linux Format","Future PLC",2022-11-07
"1047","Liphook Herald","Tindle Newspapers Limited",2022-11-07
"1048","liphookherald.com","Tindle Newspapers Limited",2022-11-07
"1049","lisburntoday.co.uk","National World Publishing Ltd",2022-11-07
"1050","Liskeard Voice","Tindle Newspapers Limited",2022-11-07
"1051","Littlehampton Gazette","National World Publishing Ltd",2022-11-07
"1052","Live Green & Good","DC Thomson Group",2022-11-07
"1053","livefortheoutdoors.com","H. Bauer Publishing",2022-11-07
"1054","Liverpool Echo","Reach PLC",2022-11-07
"1055","Liverpool Sunday Echo","Reach PLC",2022-11-07
"1056","liverpool.com","Reach PLC",2022-11-07
"1057","liverpoolecho.co.uk","Reach PLC",2022-11-07
"1058","liverpoolworld.uk","National World Publishing Ltd",2022-11-07
"1059","Living","DC Thomson Group",2022-11-07
"1060","Living Etc","Future PLC",2022-11-07
"1061","livingetc.com","Future PLC",2022-11-07
"1062","Llanelli Star","Reach PLC",2022-11-07
"1063","llanelliherald.com","UK Ltd",2022-11-07
"1064","Local Transport Today","Landor LINKS Ltd",2022-11-07
"1065","Lochaber Life","Wyvex Media Limited",2022-11-07
"1066","Londonderry & Roe Valley Sentinel","National World Publishing Ltd",2022-11-07
"1067","Londonderry Sentinel","National World Publishing Ltd",2022-11-07
"1068","londonderrysentinel.co.uk","National World Publishing Ltd",2022-11-07
"1069","londonupdates.com","Updates Media Limited",2022-11-07
"1070","Longridge and Ribble Valley News and Advertiser","National World Publishing Ltd",2022-11-07
"1071","longridgenews.co.uk","National World Publishing Ltd",2022-11-07
"1072","loudersound.com","Future PLC",2022-11-07
"1073","Loughborough Echo","Reach PLC",2022-11-07
"1074","Louth Leader","National World Publishing Ltd",2022-11-07
"1075","louthleader.co.uk","National World Publishing Ltd",2022-11-07
"1076","Love Embroidery","Immediate Media Company Limited",2022-11-07
"1077","Love Guernsey","Guernsey Press Company",2022-11-07
"1078","Love Patchwork & Quilting","Immediate Media Company Limited",2022-11-07
"1079","Lowestoft Journal","Newsquest Media Group",2022-11-07
"1080","lowestoftjournal.co.uk","Newsquest Media Group",2022-11-07
"1081","lro.com","H. Bauer Publishing",2022-11-07
"1082","Ludlow Advertiser","Newsquest Media Group",2022-11-07
"1083","ludlowadvertiser.co.uk","Newsquest Media Group",2022-11-07
"1084","Lurgan Mail","National World Publishing Ltd",2022-11-07
"1085","lurganmail.co.uk","National World Publishing Ltd",2022-11-07
"1086","Luton & Dunstable Herald & Post","National World Publishing Ltd",2022-11-07
"1087","Luton News","National World Publishing Ltd",2022-11-07
"1088","lutontoday.co.uk","National World Publishing Ltd ",2022-11-07
"1089","Lynn News","Iliffe Media Group Ltd",2022-11-07
"1090","Lynn News","Iliffe Media Group Ltd",2022-11-07
"1091","lynnnews.co.uk","Iliffe Media Group Ltd",2022-11-07
"1092","Lytham St Annes Express","National World Publishing Ltd ",2022-11-07
"1093","lythamstannesexpress.co.uk","National World Publishing Ltd",2022-11-07
"1094","Mablethorpe Leader","National World Publishing Ltd",2022-11-07
"1095","Macclesfield Express","Reach PLC",2022-11-07
"1096","macclesfield.nub.news","Nub News Ltd",2022-11-07
"1097","MacFormat","Future PLC",2022-11-07
"1098","MadeForMums.com","Immediate Media Company Limited",2022-11-07
"1099","Maidenhead Advertiser","Baylis Community Media CIC",2022-11-07
"1100","Mail Online","Associated Newspapers Limited",2022-11-07
"1101","Maldon Standard","Newsquest Media Group",2022-11-07
"1102","maldon.nub.news","Nub News Ltd",2022-11-07
"1103","maldonandburnhamstandard.co.uk","Newsquest Media Group",2022-11-07
"1104","Malvern Gazette","Newsquest Media Group",2022-11-07
"1105","malverngazette.co.uk","Newsquest Media Group",2022-11-07
"1106","Management Today","Haymarket Media Group",2022-11-07
"1107","managementtoday.co.uk","Haymarket Media Group",2022-11-07
"1108","Manchester Evening News","Reach PLC",2022-11-07
"1109","Manchester Weekly News","Reach PLC",2022-11-07
"1110","Manchester Weekly News","Reach PLC",2022-11-07
"1111","Manchester Weekly News","Reach PLC",2022-11-07
"1112","Manchester Weekly News","Reach PLC",2022-11-07
"1113","Manchester Weekly News","Reach PLC",2022-11-07
"1114","Manchester Weekly News","Reach PLC",2022-11-07
"1115","Manchester Weekly News","Reach PLC",2022-11-07
"1116","Manchester Weekly News","Reach PLC",2022-11-07
"1117","manchestereveningnews.co.uk","Reach PLC",2022-11-07
"1118","manchesterworld.uk","National World Publishing Ltd",2022-11-07
"1119","mandarinoriental.com","Cedar Communications Ltd",2022-11-07
"1120","Mansfield and Ashfield Chad","National World Publishing Ltd",2022-11-07
"1121","Manx Independent","Tindle Newspapers Limited",2022-11-07
"1122","marieclaire.co.uk","Future PLC",2022-11-07
"1123","Marine Society and Sea Cadets: Seafarer News","Immediate Media Company Limited",2022-11-07
"1124","Marine Society and Sea Cadets: The Sea Cadet","Immediate Media Company Limited",2022-11-07
"1125","Market Drayton Advertiser","MNA",2022-11-07
"1126","Market Rasen Mail","National World Publishing Ltd",2022-11-07
"1127","marketrasenmail.co.uk","National World Publishing Ltd",2022-11-07
"1128","Matlock Mercury","National World Publishing Ltd",2022-11-07
"1129","matlockmercury.co.uk","National World Publishing Ltd",2022-11-07
"1130","mbr.co.uk","Future PLC",2022-11-07
"1131","mby.com","Future PLC",2022-11-07
"1132","MCN","H. Bauer Publishing",2022-11-07
"1133","MCN Sports","H. Bauer Publishing",2022-11-07
"1134","Mearns Leader","National World Publishing Ltd",2022-11-07
"1135","mearnsleader.co.uk","National World Publishing Ltd",2022-11-07
"1136","Medway Messenger","Iliffe Media Group Ltd",2022-11-07
"1137","Mega","Immediate Media Company Limited",2022-11-07
"1138","Melton Times","National World Publishing Ltd",2022-11-07
"1139","meltontimes.co.uk","National World Publishing Ltd",2022-11-07
"1140","Men's Health","Hearst UK Limited",2022-11-07
"1141","menshealth.com/uk","Hearst UK Limited",2022-11-07
"1142","Merthyr Express","Reach PLC",2022-11-07
"1143","Metal Hammer","Future PLC",2022-11-07
"1144","Metro","Associated Newspapers Limited",2022-11-07
"1145","Metro Scotland","Associated Newspapers Limited",2022-11-07
"1146","metro.co.uk","Associated Newspapers Limited",2022-11-07
"1147","metro.news","Associated Newspapers Limited",2022-11-07
"1148","Metropolitan","Cedar Communications Ltd",2022-11-07
"1149","Mid Devon Advertiser","Tindle Newspapers Limited",2022-11-07
"1150","Mid Devon Gazette","Reach PLC",2022-11-07
"1151","Mid Sussex Times","National World Publishing Ltd",2022-11-07
"1152","Mid Wales Journal","MNA",2022-11-07
"1153","middevonadvertiser.co.uk","Tindle Newspapers Limited",2022-11-07
"1154","Middleton Guardian","Reach PLC",2022-11-07
"1155","Midhurst and Petworth Observer","National World Publishing Ltd",2022-11-07
"1156","Midlands Living","Newsquest Media Group",2022-11-07
"1157","Midlothian Advertiser","National World Publishing Ltd",2022-11-07
"1158","midlothianadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"1159","midsomernorton.nub.news","Nub News Ltd",2022-11-07
"1160","midsussextimes.co.uk","National World Publishing Ltd",2022-11-07
"1161","Mid-Ulster Mail","National World Publishing Ltd",2022-11-07
"1162","Mid-Ulster Mail","National World Publishing Ltd",2022-11-07
"1163","midulstermail.co.uk","National World Publishing Ltd",2022-11-07
"1164","Midweek Herald","Newsquest Media Group",2022-11-07
"1165","Midweek Visiter","Reach PLC",2022-11-07
"1166","midweekherald.co.uk","Newsquest Media Group",2022-11-07
"1167","Milford Mercury","Newsquest Media Group",2022-11-07
"1168","milfordmercury.co.uk","Newsquest Media Group",2022-11-07
"1169","Milngavie & Bearsden Herald","National World Publishing Ltd",2022-11-07
"1170","milngavieherald.co.uk","National World Publishing Ltd",2022-11-07
"1171","Milton Keynes Citizen","National World Publishing Ltd",2022-11-07
"1172","miltonkeynes.co.uk","National World Publishing Ltd",2022-11-07
"1173","MIMS","Haymarket Media Group",2022-11-07
"1174","MIMS Learning","Haymarket Media Group",2022-11-07
"1175","Mirfield Reporter","National World Publishing Ltd",2022-11-07
"1176","mirfieldreporter.co.uk","National World Publishing Ltd",2022-11-07
"1177","mirror.co.uk","Reach PLC",2022-11-07
"1178","mnrjournal.co.uk","Tindle Newspapers Limited",2022-11-07
"1179","Model Rail","H. Bauer Publishing",2022-11-07
"1180","model-rail.co.uk","H. Bauer Publishing",2022-11-07
"1181","Modern Gardens","H. Bauer Publishing",2022-11-07
"1182","moderngardensmagazine.co.uk","H. Bauer Publishing",2022-11-07
"1183","Moffat News","DnG Media",2022-11-07
"1184","Mojo","H. Bauer Publishing",2022-11-07
"1185","mojo4music.com","H. Bauer Publishing",2022-11-07
"1186","Mollie Makes","Immediate Media Company Limited",2022-11-07
"1187","Monmouthshire Beacon","Tindle Newspapers Limited",2022-11-07
"1188","Monmouthshire Free Press","Newsquest Media Group",2022-11-07
"1189","Monmouthshire Living","Newsquest Media Group",2022-11-07
"1190","monmouthshirebeacon.co.uk","Tindle Newspapers Limited",2022-11-07
"1191","Montrose Review","National World Publishing Ltd",2022-11-07
"1192","montrosereview.co.uk","National World Publishing Ltd",2022-11-07
"1193","Morley Observer & Advertiser","National World Publishing Ltd",2022-11-07
"1194","morleyobserver.co.uk","National World Publishing Ltd",2022-11-07
"1195","Morpeth Herald","National World Publishing Ltd",2022-11-07
"1196","morpethherald.co.uk","National World Publishing Ltd",2022-11-07
"1197","motherandbaby.co.uk","H. Bauer Publishing",2022-11-07
"1198","Motherdom","Motherdom",2022-11-07
"1199","motherdom.co.uk","motherdom.co.uk",2022-11-07
"1200","Motherwell Times","National World Publishing Ltd",2022-11-07
"1201","motherwelltimes.co.uk","National World Publishing Ltd",2022-11-07
"1202","Motor Boat & Yachting","Future PLC",2022-11-07
"1203","motorcyclenews.com","H. Bauer Publishing",2022-11-07
"1204","Mountain Bike Rider","Future PLC",2022-11-07
"1205","Mountain Biking UK","Immediate Media Company Limited",2022-11-07
"1206","Move","Guiton Publishing",2022-11-07
"1207","Move Electric","Haymarket Media Group",2022-11-07
"1208","Mull and Iona Life","Wyvex Media Limited",2022-11-07
"1209","Music Week","Future PLC",2022-11-07
"1210","musicradar.com","Future PLC",2022-11-07
"1211","My Weekly","DC Thomson Group",2022-11-07
"1212","My Weekly Pocket Novel","DC Thomson Group",2022-11-07
"1213","My Weekly Special","DC Thomson Group",2022-11-07
"1214","myimperfectlife.com","Future PLC",2022-11-07
"1215","mylondon.news","Reach PLC",2022-11-07
"1216","myweekly.co.uk","DC Thomson Group",2022-11-07
"1217","Nantwich Chronicle","Reach PLC",2022-11-07
"1218","Narberth and Whitland Observer","Tindle Newspapers Limited",2022-11-07
"1219","narberth-and-whitland-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1220","Nation.Cymru","NationCymru Cyf",2022-11-07
"1221","nationalworld.com","National World Publishing Ltd",2022-11-07
"1222","Natural Health","DC Thomson Group",2022-11-07
"1223","Natural History Museum: Evolve","Immediate Media Company Limited",2022-11-07
"1224","nearlythereyet.co.uk","Reach PLC",2022-11-07
"1225","Nelson Leader","National World Publishing Ltd",2022-11-07
"1226","Net","Future PLC",2022-11-07
"1227","netdoctor.co.uk","The National Magazine Company Ltd/Hearst UK",2022-11-07
"1228","New Forest Post","Newsquest Media Group",2022-11-07
"1229","New Milton Advertiser & Lymington Times","Iliffe Media Group Ltd",2022-11-07
"1230","new! Magazine","Reach PLC",2022-11-07
"1231","Newark Advertiser","Iliffe Media Group Ltd",2022-11-07
"1232","Newark Trader","Iliffe Media Group Ltd",2022-11-07
"1233","newarkadvertiser.co.uk","Iliffe Media Group Ltd",2022-11-07
"1234","Newbury & Thatcham Advertiser","Iliffe Media Group Ltd",2022-11-07
"1235","Newbury Business Today","Iliffe Media Group Ltd",2022-11-07
"1236","Newbury Weekly News","Iliffe Media Group Ltd",2022-11-07
"1237","newburytoday.co.uk","Iliffe Media Group Ltd",2022-11-07
"1238","newcastleworld.com","National World Publishing Ltd",2022-11-07
"1239","newforestpost.co.uk","Newsquest Media Group",2022-11-07
"1240","Newham Recorder","Newsquest Media Group",2022-11-07
"1241","newhamrecorder.co.uk","Newsquest Media Group",2022-11-07
"1242","new-magazine.co.uk","Reach PLC",2022-11-07
"1243","Newmarket Journal","Iliffe Media Group Ltd",2022-11-07
"1244","newmarketjournal.co.uk","Iliffe Media Group Ltd",2022-11-07
"1245","Newport Advertiser","MNA",2022-11-07
"1246","Newquay Voice","Tindle Newspapers Limited",2022-11-07
"1247","News & Mail Series","Reach PLC",2022-11-07
"1248","News & Mail Series","Reach PLC",2022-11-07
"1249","News & Mail Series","Reach PLC",2022-11-07
"1250","News & Mail Series","Reach PLC",2022-11-07
"1251","News & Star","Newsquest Media Group",2022-11-07
"1252","News Guardian","National World Publishing Ltd ",2022-11-07
"1253","News Letter","National World Publishing Ltd",2022-11-07
"1254","News Post Leader","National World Publishing Ltd",2022-11-07
"1255","News Shopper","Newsquest Media Group",2022-11-07
"1256","News Shopper","Newsquest Media Group",2022-11-07
"1257","News Shopper","Newsquest Media Group",2022-11-07
"1258","News Shopper","Newsquest Media Group",2022-11-07
"1259","News Shopper","Newsquest Media Group",2022-11-07
"1260","News Shopper","Newsquest Media Group",2022-11-07
"1261","newsandstar.co.uk","Newsquest Media Group",2022-11-07
"1262","newsatden.co.uk","Southwark News Limited",2022-11-07
"1263","newsguardian.co.uk","National World Publishing Ltd",2022-11-07
"1264","newsletter.co.uk","National World Publishing Ltd",2022-11-07
"1265","newspostleader.co.uk","National World Publishing Ltd",2022-11-07
"1266","newsshopper.co.uk","Newsquest Media Group",2022-11-07
"1267","Newtownabbey Times","National World Publishing Ltd",2022-11-07
"1268","newtownabbeytoday.co.uk","National World Publishing Ltd",2022-11-07
"1269","NIJobFinder.co.uk","MEDIAHUIS UK",2022-11-07
"1270","Nikon Pro","Cedar Communications Ltd",2022-11-07
"1271","Norfolk Magazine","Newsquest Media Group",2022-11-07
"1272","North Devon Journal","Reach PLC",2022-11-07
"1273","North East Living","Newsquest Media Group",2022-11-07
"1274","North Norfolk News","Newsquest Media Group",2022-11-07
"1275","North Somerset Times","Newsquest Media Group",2022-11-07
"1276","North Star","Highland News & Media Limited",2022-11-07
"1277","North Wales Chronicle","Newsquest Media Group",2022-11-07
"1278","North Wales Pioneer","Newsquest Media Group",2022-11-07
"1279","North Wales Weekly News","Reach PLC",2022-11-07
"1280","North Wales Weekly News","Reach PLC",2022-11-07
"1281","North Wales Weekly News","Reach PLC",2022-11-07
"1282","Northampton Chronicle & Echo","National World Publishing Ltd",2022-11-07
"1283","northamptonchron.co.uk","National World Publishing Ltd",2022-11-07
"1284","Northamptonshire Telegraph","National World Publishing Ltd",2022-11-07
"1285","northantslive.news","Reach PLC",2022-11-07
"1286","northantstelegraph.co.uk","National World Publishing Ltd",2022-11-07
"1287","Northern Scot","Highland News & Media Limited",2022-11-07
"1288","northernfarmer.co.uk","Newsquest Media Group",2022-11-07
"1289","northernirelandworld.com","National World Publishing Ltd",2022-11-07
"1290","northern-scot.co.uk","Highland News & Media Limited",2022-11-07
"1291","northern-times.co.uk","Highland News & Media Limited",2022-11-07
"1292","northnorfolknews.co.uk","Newsquest Media Group",2022-11-07
"1293","northsomersettimes.co.uk","Newsquest Media Group",2022-11-07
"1294","Northumberland Gazette","National World Publishing Ltd",2022-11-07
"1295","northumberlandgazette.co.uk","National World Publishing Ltd",2022-11-07
"1296","northwaleschronicle.co.uk","Newsquest Media Group",2022-11-07
"1297","northwalespioneer.co.uk","Newsquest Media Group",2022-11-07
"1298","Northwich Guardian","Newsquest Media Group",2022-11-07
"1299","northwichguardian.co.uk","Newsquest Media Group",2022-11-07
"1300","northyorkshirenews.com","National World Publishing Ltd",2022-11-07
"1301","Norwich Evening News","Newsquest Media Group",2022-11-07
"1302","Nottingham Post","Reach PLC",2022-11-07
"1303","nottinghampost.com","Reach PLC",2022-11-07
"1304","N-Photo","Future PLC",2022-11-07
"1305","Numberblocks","Immediate Media Company Ltd",2022-11-07
"1306","Nuneaton News","Reach PLC",2022-11-07
"1307","nwemail.co.uk","Newsquest Media Group",2022-11-07
"1308","oakham.nub.news","Nub News Ltd",2022-11-07
"1309","obantimes.co.uk","Wyvex Media Limited",2022-11-07
"1310","Official Playstation Magazine","Future PLC",2022-11-07
"1311","OK!","Reach PLC",2022-11-07
"1312","ok.co.uk","Reach PLC",2022-11-07
"1313","Okehampton Times","Tindle Newspapers Limited",2022-11-07
"1314","okehamton-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1315","Oldham Reporter","Quest Media Network",2022-11-07
"1316","oldham-chronicle.co.uk","Oldham Evening Chronicle",2022-11-07
"1317","Olive","Immediate Media Company Limited",2022-11-07
"1318","orcadian.co.uk","Orkney Media Group Ltd",2022-11-07
"1319","Ormskirk Advertiser","Reach PLC",2022-11-07
"1320","Other","Other",2022-11-07
"1321","Out & About Magazine","Iliffe Media Group Ltd",2022-11-07
"1322","Oxford Herald","Newsquest Media Group",2022-11-07
"1323","Oxford Mail ","Newsquest Media Group",2022-11-07
"1324","oxfordmail.co.uk","Newsquest Media Group",2022-11-07
"1325","Oxfordshire Living","Newsquest Media Group",2022-11-07
"1326","PA Media","PA Media",2022-11-07
"1327","Packet Series","Newsquest Media Group",2022-11-07
"1328","Paisley Daily Express","Reach PLC",2022-11-07
"1329","Paisley People","Newsquest Media Group",2022-11-07
"1330","Papercrafter","DC Thomson Group",2022-11-07
"1331","paragraphpublishing.com","Paragraph Publishing Ltd",2022-11-07
"1332","parkers.co.uk","H. Bauer Publishing",2022-11-07
"1333","Parking Review","Landor LINKS Ltd",2022-11-07
"1334","Partnerships Bulletin","Haymarket Media Group",2022-11-07
"1335","Pateley Bridge and Nidderdale Herald","National World Publishing Ltd",2022-11-07
"1336","pbo.co.uk","Future PLC",2022-11-07
"1337","PC Gamer","Future PLC",2022-11-07
"1338","PC Pro Computer","Future PLC",2022-11-07
"1339","pcgamer.com","Future PLC",2022-11-07
"1340","Peeblesshire News","Newsquest Media Group",2022-11-07
"1341","peeblesshirenews.com","Newsquest Media Group",2022-11-07
"1342","Pembroke & Pembroke Dock Observer","Tindle Newspapers Limited",2022-11-07
"1343","Pembrokeshire Farmer","Newsquest Media Group",2022-11-07
"1344","pembrokeshire-herald.com","UK Ltd",2022-11-07
"1345","pembroke-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1346","Penarth Times","Newsquest Media Group",2022-11-07
"1347","penarth.nub.news","Nub News Ltd",2022-11-07
"1348","penarthtimes.co.uk","Newsquest Media Group",2022-11-07
"1349","pendletoday.co.uk","National World Publishing Ltd",2022-11-07
"1350","Penzance Voice","Tindle Newspapers Limited",2022-11-07
"1351","People Management","Haymarket Media Group",2022-11-07
"1352","Performance Marketing World","Haymarket Media Group",2022-11-07
"1353","Period Living","Future PLC",2022-11-07
"1354","Perthshire Advertiser","Reach PLC",2022-11-07
"1355","Peterborough Matters","Newsquest Media Group",2022-11-07
"1356","Peterborough Telegraph","National World Publishing Ltd",2022-11-07
"1357","peterboroughmatters.co.uk","Newsquest Media Group",2022-11-07
"1358","peterboroughtoday.co.uk","National World Publishing Ltd",2022-11-07
"1359","Petersfield Post","Tindle Newspapers Limited",2022-11-07
"1360","petersfieldpost.co.uk","Tindle Newspapers Limited",2022-11-07
"1361","petsradar.com","Future PLC",2022-11-07
"1362","Photography Week","Future PLC",2022-11-07
"1363","PhotoPlus","Future PLC",2022-11-07
"1364","Pick Me Up","Future PLC",2022-11-07
"1365","Pick Me Up Special","Future PLC",2022-11-07
"1366","PJ Masks","Immediate Media Company Limited",2022-11-07
"1367","placemakingresource.com","Haymarket Media Group",2022-11-07
"1368","Planning Resource","Haymarket Media Group",2022-11-07
"1369","planningresource.co.uk","Haymarket Media Group",2022-11-07
"1370","Platinum","DC Thomson Group",2022-11-07
"1371","platinum-mag.co.uk","DC Thomson Group",2022-11-07
"1372","plotfinder.net","Future PLC",2022-11-07
"1373","plymouthherald.co.uk","Reach PLC",2022-11-07
"1374","Pocklington Post","National World Publishing Ltd",2022-11-07
"1375","pocklingtonpost.co.uk","National World Publishing Ltd",2022-11-07
"1376","Pokemon","Immediate Media Company Limited",2022-11-07
"1377","Pontefract & Castleford Express","National World Publishing Ltd",2022-11-07
"1378","pontefractandcastlefordexpress.co.uk","National World Publishing Ltd",2022-11-07
"1379","Pontypool Free Press","Newsquest Media Group",2022-11-07
"1380","Pontypridd & Llantrisant Observer","Reach PLC",2022-11-07
"1381","Portadown Times","National World Publishing Ltd",2022-11-07
"1382","portadowntimes.co.uk","National World Publishing Ltd",2022-11-07
"1383","Portishead & Clevedon Resident","Newsquest Media Group",2022-11-07
"1384","portsmouth.co.uk","National World Publishing Ltd",2022-11-07
